Name,Product,Colour
g0211,DUF2201 domain-containing protein,#000000
g0239,TrbC/VirB2 family protein,#4390F7
g0007,Inner membrane protein,#000000
g0013,Lipoprotein,#2190FF
g0017,Integrase-like protein,#000000
g0003,Type II secretion system protein,#000000
g0215,2OG-Fe(II) oxygenase,#000000
g0201,Intraflagellar transport 46-like protein,#000000
g0229,TnpR protein,#000000
g0361,Leader peptidase (Prepilin peptidase),#DEA821
g0407,Tn4652 cointegrate resolution protein,#000000
g0375,YiaAB domain-containing protein,#6992E5
g0349,Recombinase,#6291E9
g0188,TPR-REGION domain-containing protein,#2768B5
g0163,LMWPc domain-containing protein,#000000
g0177,hypothetical protein,#000000
g0176,Protein of unassigned function,#5991EE
g0162,Transmembrane protein,#000000
g0189,Type II toxin-antitoxin system ParD family antitoxin,#000000
g0348,MuF-C domain-containing protein,#B99A8A
g0412,IS3 family ISPpu33 transposase ORF B,#000000
g0374,hypothetical protein,#5E91EB
g0360,TerL,#A096B3
g0228,DUF4942 domain-containing protein,#000000
g0200,hypothetical protein,#000000
g0214,NfeD domain-containing protein,#000000
g0002,Type IV pilus biogenesis protein PilP,#000000
g0016,Prepilin-type N-terminal cleavage/methylation domain-containing protein,#000000
g0014,Mut7-C domain-containing protein,#000000
g0028,DUF4065 domain-containing protein,#000000
g0202,BRO1 domain-containing protein,#000000
g0216,DUF2798 domain-containing protein,#3790FA
g0376,hypothetical protein,#AC98A1
g0410,Transposase,#000000
g0404,40-residue YVTN family beta-propeller repeat protein,#000000
g0362,DUF2591 domain-containing protein,#6491E8
g0438,HNH endonuclease,#2F90FC
g0174,CRISPR-associated endonuclease Cas1,#2677D0
g0160,Exported protein,#000000
g0148,organomercurial lyase MerB,#000000
g0149,CheW-like domain-containing protein,#000000
g0161,DUF2790 domain-containing protein,#000000
g0175,HNH endonuclease,#000000
g0439,DUF411 domain-containing protein,#000000
g0405,ImmA/IrrE family metallo-endopeptidase,#000000
g0363,GAF domain-containing protein,#7E93D6
g0377,hypothetical protein,#B49994
g0411,DUF547 domain-containing protein,#000000
g0388,Periplasmic Cu and Ag efflux protein CusF,#000000
g0217,VRR-NUC domain-containing protein,#000000
g0203,DUF2591 domain-containing protein,#000000
g0029,hypothetical protein,#000000
g0015,USP domain-containing protein,#000000
g0001,Conjugative transfer protein TraK,#3F90F8
g0460,PII-like signaling protein,#4d4d4d
g0393,Chloride/fluoride channel protein,#4d4d4d
g0448,DUF190 domain-containing protein,#4d4d4d
g0459,PII-like signaling protein,#4d4d4d
g0473,Transmembrane protein,#4d4d4d
