Label,Plasmid,Plas_group,Strain_Rep,Plas_Rep,Plas,Quantity_S,Dilution_S,Quantity_E,Dilution_E,Quantity_P,Dilution_P,Quantity_T,Dilution_T,Start_DC,Start_RC,End_DC,End_RC,Plas_TC,Tran_TC,Data,Dat_rep
S6,pQBR26,1,7,12,3,0.06,6,0.06,6,0.05,4,0.2,0,93,74,95,189,133,4,Jan_25,3
S8,pQBR30,6,4,9,3,0.06,6,0.04,6,0.075,7,0.2,0,89,67,122,72,10,,Jan_25,3
S8,pQBR30,6,5,10,3,0.06,6,0.04,6,0.075,7,0.2,0,91,63,107,77,8,,Jan_25,3
S8,pQBR30,6,6,11,3,0.06,6,0.04,6,0.075,7,0.2,0,88,66,92,49,15,,Jan_25,3
S8,pQBR30,6,7,12,3,0.06,6,0.04,6,0.075,7,0.2,0,94,45,87,47,6,,Jan_25,3
S12,pQBR51,6,4,4,1,0.06,6,0.04,6,0.075,7,0.2,0,64,64,81,148,NA,NA,Jan_25,3
S12,pQBR51,6,5,5,1,0.06,6,0.04,6,0.075,7,0.2,0,96,66,92,96,NA,NA,Jan_25,3
S12,pQBR51,6,6,6,1,0.06,6,0.04,6,0.075,7,0.2,0,94,60,56,85,NA,NA,Jan_25,3
S12,pQBR51,6,7,7,1,0.06,6,0.04,6,0.075,7,0.2,0,56,70,95,92,NA,NA,Jan_25,3
S14,pQBR56,6,4,4,1,0.06,6,0.04,6,0.05,6,0.2,0,84,45,127,64,NA,NA,Jan_25,3
S14,pQBR56,6,5,5,1,0.06,6,0.04,6,0.05,6,0.2,0,112,62,88,69,NA,NA,Jan_25,3
S14,pQBR56,6,6,6,1,0.06,6,0.04,6,0.05,6,0.2,0,111,65,116,59,NA,NA,Jan_25,3
S14,pQBR56,6,7,7,1,0.06,6,0.04,6,0.05,6,0.2,0,92,73,85,97,NA,NA,Jan_25,3
S137,pQBR57_L,6,4,7,4,0.06,6,0.04,6,0.05,6,0.1,3,106,47,71,56,42,182,Jan_25,3
S137,pQBR57_L,6,5,8,4,0.06,6,0.04,6,0.05,6,0.1,3,71,50,90,64,97,65,Jan_25,3
S137,pQBR57_L,6,6,9,4,0.06,6,0.04,6,0.05,6,0.1,3,97,47,121,92,77,218,Jan_25,3
S137,pQBR57_L,6,7,10,4,0.06,6,0.04,6,0.05,6,0.1,3,71,59,112,140,47,104,Jan_25,3
22N,pP19E3_L,5,8,8,1,0.05,6,0.05,7,0.05,6,0.1,0,80,70,98,64,NA,NA,Nov_23,4
23N,pP19E3_L,5,4,13,2,0.05,6,0.05,7,0.05,6,0.2,0,49,82,72,76,NA,NA,Nov_23,5
24N,pP19E3_L,5,1,15,3,0.05,6,0.05,7,0.05,6,0.2,0,47,65,69,31,NA,NA,Nov_23,6
S16,pQBR102,6,8,8,1,0.05,6,0.05,7,0.1,6,0.1,2,68,41,40,84,NA,NA,Nov_23,4
S35,pQBR102,6,3,12,2,0.05,6,0.05,7,0.1,6,0.1,2,49,60,40,57,NA,NA,Nov_23,5
S53,pQBR102,6,1,13,3,0.05,6,0.05,7,0.1,6,0.1,2,60,69,55,31,NA,NA,Nov_23,6
S54,pQBR103_L,3,1,14,4,0.05,6,0.05,7,0.05,2,0.2,0,22,50,2,146,NA,NA,Nov_23,4
S20,pQBR132,2,8,8,1,0.05,6,0.05,7,0.1,7,0.2,0,15,63,17,43,NA,NA,Nov_23,4
S39,pQBR132,2,4,12,2,0.05,6,0.05,7,0.1,7,0.2,0,7,47,10,25,NA,NA,Nov_23,5
S57,pQBR132,2,1,13,3,0.05,6,0.05,7,0.1,7,0.2,0,44,61,48,26,NA,NA,Nov_23,6
S21,pQBR150,6,8,8,1,0.05,6,0.05,7,0.1,7,0.2,0,52,66,44,178,NA,NA,Nov_23,4
